id,position,goal,steps,moves,distance,mate,forcing,nonforcing,winning,threat_ignored,threat_at_line_end,quiet,blocks,decisive_steps,root_pieces
f676e4e37437,9320081489448:1100014932012301,win,9,17,27,mate in 14,4,5,0,0,1,4,4,5,28
5d8708431261,81940006119404:9400008190880299,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
08705140c3c8,1100802d01878:1000000110298783,win,3,5,7,mate in 4,1,2,1,1,0,0,0,3,26
e782e422da8f,1008018843208390:100122010c85069,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
8beade40ec52,c8000a0686168:8000600c44049415,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
9d9ef2c7dc95,12090080d2809084:8052090009430b,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,28
2470c5c85cd1,2860b0e001801:2090000800b861a,win,3,5,7,mate in 4,1,2,1,1,0,0,0,3,26
d7e21aab8da2,2860b1e001801:6090000800b861a,win,3,5,7,mate in 4,1,2,1,1,0,0,0,3,28
1de63b60fde3,1010503881944:110010881005c289,win,6,11,11,mate in 6,2,4,1,1,0,2,1,5,27
157c90e9ccfc,183082040a381:800020019389104a,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
2c94f308da51,b010b00188902:80108903501d,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,26
4f3541ee7cad,9844891008508:9400110104495041,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
ea48011f81af,40088a00c158c:8010441b0e031,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
